t, y
15.2188, 0
15.2344, 0
15.25, 0
15.2656, 0
15.2812, 0
15.2969, 0
15.3125, 0
15.3281, 0
15.3438, 0
15.3594, 0
15.375, 0
15.3906, 0
15.4062, 0
15.4219, 0
15.4375, 0
15.4531, 0
15.4688, 0
15.4844, 0
15.5, 0
15.5156, 0
15.5312, 0
15.5469, 0
15.5625, 0
15.5781, 0
15.5938, 0
15.6094, 0
15.625, 0
15.6406, 0
15.6562, 0
15.6719, 0
15.6875, 0
15.7031, 0
15.7188, 0
15.7344, 0
15.75, 0
15.7656, 0
15.7812, 0
15.7969, 0
15.8125, 0
15.8281, 0
15.8438, 0
15.8594, 0
15.875, 0
15.8906, 0
15.9062, 0
15.9219, 0
15.9375, 0
15.9531, 0
15.9688, 0
15.9844, 0
16, 0
16.0156, 0
16.0312, 0
16.0469, 0
16.0625, 0
16.0781, 0
16.0938, 0
16.1094, 0
16.125, 0
16.1406, 0
16.1562, 0
16.1719, 0
16.1875, 0
16.2031, 0
16.2188, 0
16.2344, 0
16.25, 0
16.2656, 0
16.2812, 0
16.2969, 0
16.3125, 0
16.3281, 0
16.3438, 0
16.3594, 0
16.375, 0
16.3906, 0
16.4062, 0
16.4219, 0
16.4375, 0
16.4531, 0
16.4688, 0
16.4844, 0
16.5, 0
16.5156, 0
16.5312, 0
16.5469, 0
16.5625, 0
16.5781, 0
16.5938, 0
16.6094, 0
16.625, 0
16.6406, 0
16.6562, 0
16.6719, 0
16.6875, 0
16.7031, 0
16.7188, 0
16.7344, 0
16.75, 0
16.7656, 0
16.7812, 0
16.7969, 0
16.8125, 0
16.8281, 0
16.8438, 0
16.8594, 0
16.875, 0
16.8906, 0
16.9062, 0
16.9219, 0
16.9375, 0
16.9531, 0
16.9688, 0
16.9844, 0
17, 0
17.0156, 0
17.0312, 0
17.0469, 0
17.0625, 0
17.0781, 0
17.0938, 0
17.1094, 0
17.125, 0
17.1406, 0
17.1562, 0
17.1719, 0
17.1875, 0
17.2031, 0
17.2188, 0
17.2344, 0
17.25, 0
17.2656, 0
17.2812, 0
17.2969, 0
17.3125, 0
17.3281, 0
17.3438, 0
17.3594, 0
17.375, 0
17.3906, 0
17.4062, 0
17.4219, 0
17.4375, 0
17.4531, 0
17.4688, 0
17.4844, 0
17.5, 0
17.5156, 0
17.5312, 0
17.5469, 0
17.5625, 0
17.5781, 0
17.5938, 0
17.6094, 0
17.625, 0
17.6406, 0
17.6562, 0
17.6719, 0
17.6875, 0
17.7031, 0
17.7188, 0
17.7344, 0
17.75, 0
17.7656, 0
17.7812, 0
17.7969, 0
17.8125, 0
17.8281, 0
17.8438, 0
17.8594, 0
17.875, 0
17.8906, 0
17.9062, 0
17.9219, 0
17.9375, 0
17.9531, 0
17.9688, 0
17.9844, 0
18, 0
18.0156, 0
18.0312, 0
18.0469, 0
18.0625, 0
18.0781, 0
18.0938, 0
18.1094, 0
18.125, 0
18.1406, 0
18.1562, 0
18.1719, 0
18.1875, 0
18.2031, 0
18.2188, 0
18.2344, 0
18.25, 0
18.2656, 0
18.2812, 0
18.2969, 0
18.3125, 0
18.3281, 0
18.3438, 0
18.3594, 0
18.375, 0
18.3906, 0
18.4062, 0
18.4219, 0
18.4375, 0
18.4531, 0
18.4688, 0
18.4844, 0
18.5, 0
18.5156, 0
18.5312, 0
18.5469, 0
18.5625, 0
18.5781, 0
18.5938, 0
18.6094, 0
18.625, 0
18.6406, 0
18.6562, 0
18.6719, 0
18.6875, 0
18.7031, 0
18.7188, 0
18.7344, 0
18.75, 0
18.7656, 0
18.7812, 0
18.7969, 0
18.8125, 0
18.8281, 0
18.8438, 0
18.8594, 0
18.875, 0
18.8906, 0
18.9062, 0
18.9219, 0
18.9375, 0
18.9531, 0
18.9688, 0
18.9844, 0
19, 0
19.0156, 0
19.0312, 0
19.0469, 0
19.0625, 0
19.0781, 0
19.0938, 0
19.1094, 0
19.125, 0
19.1406, 0
19.1562, 0
19.1719, 0
19.1875, 0
19.2031, 0
19.2188, 0
19.2344, 0
19.25, 0
19.2656, 0
19.2812, 0
19.2969, 0
19.3125, 0
19.3281, 0
19.3438, 0
19.3594, 0
19.375, 0
19.3906, 0
19.4062, 0
19.4219, 0
19.4375, 0
19.4531, 0
19.4688, 0
19.4844, 0
19.5, 0
19.5156, 0
19.5312, 0
19.5469, 0
19.5625, 0
19.5781, 0
19.5938, 0
19.6094, 0
19.625, 0
19.6406, 0
19.6562, 0
19.6719, 0
19.6875, 0
19.7031, 0
19.7188, 0
19.7344, 0
19.75, 0
19.7656, 0
19.7812, 0
19.7969, 0
19.8125, 0
19.8281, 0
19.8438, 0
19.8594, 0
19.875, 0
19.8906, 0
19.9062, 0
19.9219, 0
19.9375, 0
19.9531, 0
19.9688, 0
19.9844, 0
20, 0
20.0156, 0
20.0312, 0
20.0469, 0
20.0625, 0
20.0781, 0
20.0938, 0
20.1094, 0
20.125, 0
